1	b'Hello #twitter!'
1	b'@TheMarketaire This whole #Facebook change makes more nervous than excited. What about privacy, etc.? I much prefer #Twitter'
0	b'yo, @apple, this update is a disaster'
0	b'@KushKitty420 you, #Facebook #twitter and the #tv are all #distractions whenever I wanna study ;('
1	b'Are you using #Google+ and #Linkedin yet? These are essential tools to get your company and/or you on the FIRST page of Google. Contact...'
1	b'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is'
0	b'#Microsoft #Dynamics #NAV is a cesspit. Extreme consultingware. To be avoided...'
0	b'@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx'
1	b'#iOs5 is nice and as it had to be ! Thanks @Apple'
0	b'@8Sunni Yeah shit happens, #Twitter is a real whore sometimes!'
1	b'Great, live contact management, quick contact card, add people directly to.your home screen #Android4.0 #Google'
0	b"Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f"
0	b'#Google #Cloud Service Blackouts Threaten Cloud Users: During a 30-day period in August and September, for ... http://t.co/G0ElVRVJ #TCN'
1	b'Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w'
1	b'There you go - according to http://t.co/4Y8aS4zz #Google+ is builtin to the OS/Nexus line? Smart move :)'
0	b'#Google People app...the next revolution in stalking.'
0	b"@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty."
0	b'#microsoft #careers site is giving errors for any thing i search!! #weird\nhttp://t.co/vJ2JpKtM http://t.co/02dYONXz'
1	b'Just participated in another #Microsoft #SQLServer certification test with #TSQL typing instead of multiple choices. Really cool.'
1	b'@guardiantech I love the "And now it is looking to China:" Apple funds sweatshops there while Gates funds a foundation #apple #microsoft'
1	b"@jowyang it's difficult to pass up #google+ considering the social seo benefits of google+ vs facebook"
0	b'Clarence Thomas must have designed the new OSX lion, tossing decades of workflow standards, @apple bring back save as! #autoSaveSucks'
1	b'The Future of #Information: Innovators from #Google, #Microsoft &#Twitter  Nov. 14-18  Info & registration at http://t.co/kJKZ77Zy #UMD'
0	b'The #Google guys are illustrating the perils of a live demonstration admirably. #GalaxyNexus #ICS #Android'
1	b'fuck that facebook bullshit. #twitter bitch'
1	b'My Facebook messed up and I had to make a new one so... add me! Haha at least #twitter is reliable'
1	b'@Apple downloads of iOS 5 are proving popular with users  -- http://t.co/NSHLfiUX'
1	b'I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out'
1	b'@iancollinsuk @apple I like what you did there...!'
1	b'[GReader Share] Five Reasons Why Google is Winning the War in Photosharing  http://t.co/coQCLb9R - #photography #fotografia #google+'
1	b'Ballmer Thinks You Have To Be A Computer Scientist To Use Android http://t.co/VKV2TBcj #tech #microsoft (i agree to some extent)'
1	b'Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.'
1	b'Good support fm Kevin @apple #Bellevue store 4 biz customers TY!'
1	b'RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}'
1	b"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature"
0	b'@apple thanks apple for ios 5 and losing all my contacts!'
0	b"People should be more interesting on #facebook and #twitter at midnight. I'm getting bored."
1	b'#google + #motorola + #verizon = perfect combination! &lt;3'
1	b"@blackberry is like the #Titanic and it seems everyone is running for the @apple #iPhone life rafts and there won't be enough for everyone!"
0	b"See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!"
0	b"+1 RT @tah_med: the background is SO horrible for this stream #Samsung #Google #NexusPrime they should've seen what #Adobe did at #AdobeMAX"
1	b"Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now"
1	b'@RIM you made it too easy for me to switch to @Apple iPhone. See ya!'
1	b'*singing*! everytime  I  try  to leave something keeps  pulling me  back  (me  back) telling me  I  need  #Twitter & all that. lol  (:'
1	b"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness"
0	b'#Twitter is Fawkin up!!!'
0	b'@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. \nCar is sweet SYNC is #EpicFail'
0	b'Totally unproductive day with no access to #Microsoft Excel or Word, aaargh! Will be working late tonight after hubby fixes. #fingerscrossed'
1	b'goodbye Bump ... #Google #ICS'
0	b'Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!'
1	b'I just sent my grandma a post card using my #CardsApp thanks @Apple'
0	b'I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye'
0	b"#Google introduce new Android tablet called 'Ice Cream Sandwich'? I'm a #Singaporean, and I'm (very) confused."
1	b"Calling all #marketing executives in #houston - sign up for #google #training - http://t.co/vo542MrZ - I can't wait to be there for the week"
1	b'@loveguru_b i miss my #twitter boo'
1	b'Validated that #Microsoft #iSCSI target in Win Server 8 works fine with #VMware #vSphere5 / ESXi5, no errors - more: http://t.co/6qnLWFt7'
1	b'#Google+  great for small businesses? I think so. The platform has some really beneficial features. Thoughts? http://t.co/FytcyEG2'
1	b'My 100 tweet goes to #twitter . Thanks for providing me with another way of keeping me busy during school!'
